Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate
S01011393,Wishaw South,North Lanarkshire,783,466,14%,109,12%,55,140,107,248,105,0.23,0.00,131,79%,5.70,144,4%,6%,2.640374554,3.771646849,3.142291914,4.004903475,5.792850773,4.987945205,7.114637337,6.113433413,9.033032105,0%,10,128,97,9,12%,1%
S01011394,Wishaw South,North Lanarkshire,592,420,7%,41,2%,9,80,27,0,110,0.16,0.00,127,88%,5.86,45,0%,14%,3.166447798,4.036199021,4.451199021,4.391027027,5.917573409,5.328305085,9.651166395,9.001166395,11.56841762,0%,*,*,22,6,4%,1%
S01011395,Wishaw South,North Lanarkshire,670,453,23%,154,20%,87,180,195,103,99,0.30,0.04,147,68%,5.46,153,7%,9%,1.575430801,1.506723202,1.916947083,2.8885,2.825054274,3.5278,4.417177748,4.522869742,5.717265943,0%,94,1396,100,8,14%,1%
S01011396,Wishaw South,North Lanarkshire,770,483,24%,186,17%,81,185,250,247,124,0.30,0.00,168,74%,4.75,120,6%,5%,1.334444801,2.14012516,2.900683569,2.28597561,4.059531451,3.42028,6.411688062,5.85093068,8.410789474,0%,56,731,73,5,10%,1%
S01011397,Wishaw South,North Lanarkshire,831,481,24%,198,17%,81,160,170,110,206,0.30,0.03,130,62%,5.09,134,4%,5%,2.083791009,2.887894897,3.486831713,3.067751479,4.713317132,4.261056106,6.311804374,5.661403402,8.23100243,0%,18,218,89,0,12%,0%
S01011398,Wishaw South,North Lanarkshire,741,454,34%,250,21%,93,200,273,192,89,0.25,0.11,192,61%,3.90,187,10%,1%,2.256437741,3.198392169,3.69262837,3.34134434,5.273209243,4.383072289,9.339396662,8.689993582,11.25792683,0%,23,312,146,0,19%,0%
S01011399,Wishaw South,North Lanarkshire,503,345,22%,113,19%,66,180,111,83,77,0.25,0.08,121,65%,4.69,181,0%,4%,1.643720472,2.665895669,3.16003937,2.516808511,4.778809055,3.588114754,9.380354331,9.790807087,12.38895669,0%,36,720,77,1,15%,0%
S01011400,Wishaw North,North Lanarkshire,663,451,16%,109,13%,56,130,91,40,124,0.21,0.00,121,78%,5.82,108,8%,12%,1.664120509,2.435400449,2.256463323,3.501171875,3.638806138,3.590571429,6.215538922,5.979423653,8.450299401,0%,59,895,75,8,11%,1%
S01011401,Wishaw North,North Lanarkshire,620,392,14%,89,12%,45,130,137,25,100,0.19,0.05,127,76%,5.92,122,3%,10%,1.8712017,1.35183153,1.704258114,3.165485437,3.441526275,2.372804878,4.93553323,5.807600464,7.843848532,0%,22,357,51,1,8%,0%
S01011402,Wishaw North,North Lanarkshire,944,520,13%,123,9%,45,130,57,60,101,0.22,0.09,108,82%,5.52,105,3%,3%,1.126648323,1.636208071,1.948346436,2.146577381,3.747570755,2.129566929,5.212327044,5.914926625,8.398836478,0%,24,256,72,2,8%,0%
S01011403,Wishaw North,North Lanarkshire,514,339,16%,82,11%,38,140,104,0,42,0.15,0.13,132,75%,5.57,117,1%,8%,1.823581461,2.916081461,3.571488764,1.963135593,5.028581461,3.13616,5.837134831,6.402752809,8.923595506,0%,17,333,82,4,15%,1%
S01011404,Wishaw North,North Lanarkshire,927,606,24%,219,17%,105,190,169,85,176,0.25,0.03,156,70%,4.39,143,7%,6%,1.737389069,2.751755952,2.518187229,2.298020305,4.94303842,2.963833333,7.193441558,6.767943723,10.2307197,0%,38,412,106,0,11%,0%
S01011405,Wishaw North,North Lanarkshire,645,390,17%,108,15%,57,115,61,25,69,0.18,0.15,103,69%,5.03,83,5%,14%,2.296185039,3.284224409,1.447393701,2.318278689,5.396244094,1.9752,6.731818898,6.204862205,9.815456693,0%,25,390,39,5,6%,1%
S01011406,Wishaw North,North Lanarkshire,715,439,11%,82,11%,46,125,141,0,113,0.24,0.12,117,72%,5.53,135,3%,9%,2.766469673,2.381006998,2.217674961,3.445879121,4.477360031,2.633333333,7.671967341,7.532045101,9.765388802,0%,24,338,90,4,14%,1%
S01011407,Wishaw North,North Lanarkshire,1082,691,10%,108,8%,56,105,70,14,81,0.20,0.03,118,79%,5.44,112,2%,11%,3.478622172,3.327800905,2.508373303,3.413206751,5.428624434,3.386065089,9.228285068,7.731045249,11.49093213,0%,29,270,118,20,11%,2%
S01011408,Coltness,North Lanarkshire,823,533,19%,157,11%,58,150,174,118,119,0.22,0.04,129,68%,4.95,133,5%,4%,3.120423216,4.0575,1.22837364,2.176862745,6.171254534,2.880734266,6.794226119,5.106191052,9.879304716,0%,32,391,133,1,16%,0%
S01011409,Coltness,North Lanarkshire,871,565,28%,247,21%,120,190,377,90,110,0.24,0.13,155,66%,5.35,159,5%,1%,4.52181466,5.449788439,2.374690107,2.740092593,7.558498212,4.269936709,10.07756853,7.413101907,13.16282479,1%,48,554,126,21,15%,3%
S01011410,Coltness,North Lanarkshire,630,387,15%,97,12%,48,125,25,51,108,0.24,0.04,129,78%,4.86,137,2%,6%,3.562599522,4.140015924,1.345955414,2.001342282,6.243077229,3.489698795,9.326735669,5.06343949,12.12199045,0%,30,479,110,1,18%,0%
S01011411,Coltness,North Lanarkshire,633,394,12%,78,11%,43,130,103,0,105,0.20,0.10,141,80%,5.00,143,3%,8%,4.047890855,4.494716077,1.873067847,2.055657143,6.593115782,3.880309735,9.667905605,5.921246313,12.29162611,0%,17,270,108,3,16%,0%
S01011412,Coltness,North Lanarkshire,823,505,3%,28,3%,15,70,33,42,82,0.17,0.00,82,89%,5.90,68,0%,12%,4.834723837,5.407523256,2.60056686,2.884326241,7.502008721,4.669867257,15.19064826,10.30276163,18.20118895,0%,*,*,40,5,5%,1%
S01011413,Wishaw East,North Lanarkshire,531,398,3%,14,4%,18,55,41,0,65,0.17,0.10,87,90%,5.88,77,0%,10%,3.845870536,3.966991071,3.531991071,1.7562,7.14996875,4.954622642,15.47125893,14.61298214,19.46798214,0%,4,76,46,5,8%,1%
S01011414,Wishaw East,North Lanarkshire,839,541,16%,135,12%,64,125,86,73,93,0.23,0.05,111,76%,5.16,119,3%,5%,2.775710399,3.292620919,2.870934099,1.951995192,6.101608222,3.58488806,10.90808948,10.10018742,14.76019952,0%,31,372,116,0,14%,0%
S01011415,Wishaw East,North Lanarkshire,861,557,11%,97,10%,57,125,257,67,74,0.21,0.00,123,86%,5.25,120,1%,9%,2.024693234,2.283125,1.847646216,2.270338983,5.899266055,4.141147541,7.334822248,6.47540711,12.39534404,0%,29,339,65,2,8%,0%
S01011416,Wishaw East,North Lanarkshire,572,362,2%,14,4%,16,60,11,0,105,0.13,0.00,100,91%,5.67,62,0%,12%,2.680191693,2.638015176,2.203015176,1.848111888,6.484201278,4.408125,11.08630192,10.22714856,17.0659345,0%,10,176,34,0,5%,0%
S01011417,Newmains,North Lanarkshire,790,472,12%,98,12%,54,150,51,41,88,0.23,0.08,101,76%,5.16,127,2%,4%,1.65827439,1.376192073,1.745926829,1.369238411,7.733865854,5.932439024,4.74154878,4.129890244,15.11047561,0%,57,726,103,3,13%,0%
S01011418,Newmains,North Lanarkshire,544,334,23%,124,18%,60,185,141,92,98,0.32,0.17,150,77%,5.14,177,5%,4%,2.193111413,2.093111413,2.959347826,2.642975207,9.073686594,7.149375,6.998070652,6.374664855,17.61685688,0%,12,222,110,7,20%,1%
S01011419,Newmains,North Lanarkshire,556,362,16%,90,15%,56,160,187,141,120,0.26,0.00,147,68%,4.83,156,3%,4%,2.821742832,2.720515233,3.585591398,3.311860465,9.701863799,7.893,6.61405914,6.142992832,17.38422043,0%,11,199,95,0,17%,0%
S01011420,Newmains,North Lanarkshire,465,308,32%,151,27%,83,230,306,85,172,0.29,0.00,154,55%,5.45,196,10%,4%,3.443192464,3.34135947,4.206934827,4.001956522,10.32212831,8.690555556,7.633258656,7.084867617,18.32752546,0%,35,757,106,3,22%,1%
S01011421,Newmains,North Lanarkshire,663,462,10%,69,9%,43,115,67,17,130,0.18,0.08,156,77%,5.06,77,5%,6%,2.675469984,2.575469984,3.442610585,3.100119617,9.555829384,7.769364407,11.58720379,10.72792259,21.96720379,12%,10,152,46,0,7%,0%
S01011422,Newmains,North Lanarkshire,587,369,19%,111,13%,48,180,69,82,167,0.26,0.08,138,68%,5.30,216,2%,3%,2.251143939,2.149257576,3.018833333,2.815719424,9.132125,7.457572816,9.622886364,9.007621212,20.24823485,0%,19,326,88,6,13%,1%
S01011423,Newmains,North Lanarkshire,541,329,34%,182,20%,67,210,77,52,116,0.23,0.07,148,61%,3.65,228,6%,5%,1.807657895,1.762986842,2.628850877,2.914093567,8.572210526,6.886981982,6.462701754,5.799201754,16.53920175,0%,30,558,99,4,17%,1%
S01011424,Newmains,North Lanarkshire,560,340,17%,95,10%,35,155,63,83,94,0.25,0.00,114,73%,5.18,171,0%,7%,2.580691964,2.535035714,3.401517857,3.800454545,8.868196429,7.65,6.323709821,5.659133929,16.40125,0%,8,144,74,4,13%,1%
S01011425,Newmains,North Lanarkshire,844,488,20%,165,15%,73,150,57,58,111,0.21,0.09,110,67%,4.80,144,7%,4%,2.587574917,2.622780244,3.192128191,3.523040541,8.49495283,7.820497512,7.223174251,6.558795782,17.30022198,0%,19,226,139,0,15%,0%
S01011426,Allanton - Newmains Rural,North Lanarkshire,1586,994,3%,52,2%,19,80,34,8,156,0.16,0.03,91,85%,5.64,82,1%,9%,2.075109212,2.689537037,3.088831909,2.230840407,8.178995726,7.472106227,11.18844492,10.50974596,19.95481007,18%,21,133,37,12,4%,1%
S01011427,Allanton - Newmains Rural,North Lanarkshire,637,416,17%,107,13%,53,150,89,87,80,0.20,0.10,101,73%,4.81,142,8%,5%,3.879204713,4.352430044,0.918107511,2.528348214,5.976399116,7.295700637,12.66650221,4.933048601,15.43699926,4%,13,205,95,2,14%,0%
S01011428,Allanton - Newmains Rural,North Lanarkshire,503,312,13%,67,10%,32,140,46,93,90,0.22,0.00,100,85%,5.89,133,4%,5%,4.283616601,4.689293478,1.552519763,1.937283951,5.670790514,6.910862069,12.74430336,5.688942688,15.37867589,3%,7,140,52,0,10%,0%
S01011429,Allanton - Newmains Rural,North Lanarkshire,1120,947,4%,42,2%,24,65,34,44,107,0.10,0.00,98,82%,5.76,160,2%,10%,4.206087425,4.396472868,3.81709087,4.585251799,5.848934109,6.813333333,17.88875108,14.46721792,20.33254522,74%,94,835,41,1,7%,0%
S01011430,Shotts,North Lanarkshire,880,530,6%,54,7%,35,90,27,88,150,0.20,0.08,98,80%,6.04,112,1%,10%,1.21583243,1.214831887,1.280691432,2.545316742,1.671477766,3.127627737,6.002066161,5.716052061,6.293096529,1%,24,274,96,6,11%,1%
S01011431,Shotts,North Lanarkshire,1047,645,17%,180,12%,74,165,118,324,104,0.21,0.05,120,79%,5.06,174,5%,6%,1.545599718,1.43233302,1.040446849,2.164594595,1.778087959,3.498583691,5.209731891,3.537337723,4.766552211,0%,23,221,159,2,15%,0%
S01011432,Shotts,North Lanarkshire,997,586,10%,102,11%,64,130,149,34,137,0.17,0.09,117,77%,5.13,166,3%,6%,2.178539024,2.065304878,1.659390244,2.939794239,2.410514634,4.264175627,6.835060976,5.123219512,6.393682927,2%,18,182,187,0,18%,0%
S01011433,Shotts,North Lanarkshire,894,583,25%,223,17%,97,170,91,160,81,0.19,0.02,115,64%,4.69,245,5%,2%,2.747219472,2.773561606,2.462436744,3.610912052,3.064694719,3.788217822,7.007970297,5.588734873,6.57219747,0%,41,461,272,2,30%,0%
S01011434,Shotts,North Lanarkshire,549,347,10%,54,7%,23,130,46,0,102,0.17,0.08,94,70%,5.50,123,0%,3%,1.883118327,2.010040036,1.809564057,2.717264151,2.236396797,2.505752688,6.058576512,4.447117438,5.619786477,0%,10,183,75,1,13%,0%
S01011435,Stane,North Lanarkshire,921,606,5%,46,5%,30,90,28,47,107,0.15,0.07,87,88%,5.56,94,2%,8%,1.827243797,2.65083603,1.831173139,2.312957746,3.852324703,4.357699387,7.81649137,5.004088457,9.205177994,13%,14,153,51,7,6%,1%
S01011436,Stane,North Lanarkshire,688,481,24%,162,17%,81,185,213,133,102,0.22,0.06,110,76%,5.25,179,5%,7%,2.561834958,3.447722841,2.166671309,2.943921569,4.691142061,5.097352941,8.262423398,4.269860724,8.968377437,0%,24,351,131,4,18%,1%
S01011437,Stane,North Lanarkshire,713,465,19%,139,14%,66,180,306,0,128,0.22,0.07,148,72%,4.75,183,6%,2%,3.100615595,3.986429549,2.705615595,3.208544776,5.229487004,5.447489083,9.202592339,5.066716826,9.941826265,0%,13,183,159,3,22%,0%
S01011438,Stane,North Lanarkshire,503,316,32%,161,20%,63,190,129,0,140,0.23,0.06,133,61%,5.00,218,5%,6%,3.682224265,4.568405331,3.288129596,3.960925926,5.811534926,6.064278351,11.19439338,7.058014706,11.94446691,0%,17,340,114,0,21%,0%
S01011439,Harthill and Salsburgh,North Lanarkshire,847,523,16%,134,10%,53,155,155,55,114,0.19,0.10,120,64%,5.44,186,2%,7%,2.938470191,3.239538808,2.656600112,3.836428571,4.040210911,4.967991071,10.08552306,8.099929696,10.90549775,17%,19,226,136,13,15%,1%
S01011440,Harthill and Salsburgh,North Lanarkshire,539,326,14%,74,13%,41,180,121,88,173,0.25,0.00,132,65%,4.40,203,9%,5%,1.23041876,2.823245394,2.498555276,3.168928571,2.197680067,8.202560976,7.509949749,6.041427973,6.09879397,0%,12,224,69,4,12%,1%
S01011441,Harthill and Salsburgh,North Lanarkshire,731,465,22%,158,15%,70,160,87,41,156,0.25,0.03,127,65%,5.04,180,11%,4%,1.497116645,2.539469201,2.217958716,2.867451923,1.916975754,9.150661157,6.638453473,5.193918742,5.656965924,0%,33,454,98,8,13%,1%
S01011442,Harthill and Salsburgh,North Lanarkshire,691,423,17%,119,16%,67,175,72,97,74,0.26,0.10,137,78%,5.40,178,4%,12%,2.606486091,1.209714495,1.124363104,2.438756757,1.690874817,8.747210526,3.681493411,3.894978038,5.533879941,0%,25,364,73,3,11%,0%
S01011443,Harthill and Salsburgh,North Lanarkshire,567,354,19%,105,14%,47,155,50,30,112,0.26,0.00,125,69%,5.81,187,1%,7%,2.860148714,2.109698553,1.550490354,2.708529412,2.120944534,8.702352941,5.838617363,4.354795016,5.644043408,0%,23,408,111,0,18%,0%
S01011444,Harthill and Salsburgh,North Lanarkshire,730,469,23%,168,15%,71,165,101,97,109,0.24,0.11,133,70%,4.53,187,3%,1%,4.842787958,2.632722513,2.196354712,2.659771429,8.192401832,9.709626866,4.469450262,3.33341623,15.91206806,1%,18,248,146,6,19%,1%
S01011445,Harthill and Salsburgh,North Lanarkshire,563,377,12%,65,8%,29,105,210,71,154,0.18,0.04,115,77%,5.56,135,2%,10%,4.02712135,1.592833029,1.418248175,2.996290323,8.430255474,8.860652174,5.749781022,4.958512774,13.38572993,0%,11,197,62,2,11%,0%
S01011446,Harthill and Salsburgh,North Lanarkshire,698,455,10%,68,9%,40,115,19,26,86,0.26,0.04,133,83%,5.38,142,8%,9%,4.731430608,4.128032319,4.3984173,5.681800948,8.031040875,5.609115044,8.406777567,8.450204373,15.77315589,20%,32,461,63,9,12%,2%
S01011447,Cleland,North Lanarkshire,879,559,18%,154,14%,75,160,74,106,139,0.23,0.06,162,68%,5.15,151,3%,4%,4.202559524,4.346222944,2.076461039,2.505894309,10.10715909,6.60026178,9.992334957,5.399905303,19.12307359,0%,15,172,209,0,23%,0%
S01011448,Cleland,North Lanarkshire,868,570,12%,105,10%,59,125,79,34,110,0.18,0.05,112,75%,5.56,112,1%,11%,4.478319444,4.459888889,1.492366667,2.180123457,9.147325,6.716608696,13.56929444,7.038316667,20.87872222,7%,10,116,124,12,14%,1%
S01011449,Cleland,North Lanarkshire,510,308,25%,129,20%,60,185,168,31,133,0.24,0.23,137,72%,5.63,182,4%,14%,4.109037736,3.774367925,1.387457547,1.415316901,8.533759434,5.751615385,12.48345283,5.646490566,17.87912736,0%,25,493,93,3,18%,1%
S01011450,Cleland,North Lanarkshire,730,472,6%,41,6%,27,105,17,20,93,0.14,0.00,109,82%,5.88,104,0%,14%,5.201687117,4.893224693,1.825839724,1.869642857,8.278822853,5.703270677,12.83709356,5.77868865,17.01371549,0%,8,110,51,6,8%,1%
S01011451,Cleland,North Lanarkshire,1588,1137,4%,61,4%,42,75,43,21,77,0.17,0.07,119,80%,5.79,79,0%,14%,2.901463333,3.655833333,3.79962,4.472817164,8.575756667,5.143607038,21.82382,22.35509333,32.09175333,3%,40,253,49,6,7%,1%
S01011452,Newarthill,North Lanarkshire,881,583,10%,87,11%,62,115,78,47,71,0.19,0.04,126,78%,5.34,102,0%,6%,2.781953537,1.840216473,2.653479409,2.164116162,10.62952746,4.02133758,5.200654699,7.523146779,23.14976769,1%,15,171,101,31,11%,3%
S01011453,Newarthill,North Lanarkshire,703,454,17%,122,12%,52,145,92,22,105,0.19,0.00,119,73%,5.66,140,7%,6%,2.905278159,1.251971154,1.986744505,1.4348125,10.00046016,3.479103448,5.329673764,7.884052198,25.31635302,0%,7,100,131,8,18%,1%
S01011454,Newarthill,North Lanarkshire,755,461,17%,130,11%,49,160,112,105,107,0.22,0.14,137,66%,4.96,139,8%,4%,2.565511222,1.390928928,1.6494202,1.512962085,9.740632793,2.883221477,5.612786783,8.852618454,25.053351,0%,16,213,179,0,22%,0%
S01011455,Newarthill,North Lanarkshire,719,433,21%,154,16%,70,160,125,111,145,0.24,0.08,142,61%,4.30,170,1%,4%,2.045063673,1.169634718,1.134621314,1.265640244,9.145794236,2.242761194,4.25133378,5.435616622,23.16270107,0%,28,392,105,9,14%,1%
S01011456,Carfin North,North Lanarkshire,761,446,22%,170,16%,71,175,164,88,157,0.27,0.09,141,67%,5.28,185,6%,6%,2.324253686,1.874742015,1.971016585,2.266581921,9.043863636,1.940075758,7.540454545,8.642432432,22.41095209,0%,32,423,155,5,19%,1%
S01011457,Carfin North,North Lanarkshire,855,524,19%,166,16%,83,165,128,89,124,0.24,0.00,146,63%,5.10,186,8%,4%,3.086207743,2.578595965,2.710785169,2.492516129,9.804975463,2.688715847,6.737720829,9.688710469,22.37143948,0%,32,376,215,6,23%,1%
S01011458,Carfin North,North Lanarkshire,1257,936,6%,79,5%,45,70,40,54,122,0.19,0.09,96,80%,5.80,95,3%,8%,1.965365799,1.750668761,1.896016607,2.493096154,8.404225763,1.97798913,8.430049372,9.865911131,22.58021993,0%,16,128,86,0,8%,0%
S01011459,Carfin North,North Lanarkshire,1048,726,14%,145,9%,63,130,80,22,138,0.17,0.04,131,82%,5.64,99,0%,7%,1.528482906,1.519164292,1.662079772,2.239904891,8.721227445,3.091557018,6.292108262,7.164624881,21.78167142,0%,14,134,139,4,13%,0%
S01011460,Clydesdale and New Stevenston,North Lanarkshire,729,476,16%,118,13%,60,170,170,167,128,0.23,0.08,151,74%,5.56,144,6%,5%,3.666851852,2.37979828,2.268475529,3.371994382,7.608683862,2.461552511,10.0120172,10.93194444,23.54555556,0%,15,207,163,0,22%,0%
S01011461,Clydesdale and New Stevenston,North Lanarkshire,671,487,24%,162,15%,73,150,88,95,91,0.26,0.09,130,66%,5.09,180,2%,6%,4.076700139,1.502042936,1.368220222,2.574668675,6.803954294,3.283403361,5.389103186,5.640900277,21.65946676,0%,36,540,199,4,28%,1%
S01011462,Clydesdale and New Stevenston,North Lanarkshire,838,533,16%,132,12%,63,125,164,108,97,0.20,0.08,133,83%,6.04,103,1%,6%,3.843823857,2.603210702,2.853361204,2.657119565,6.888344482,3.521382353,4.763556299,6.272118172,17.46283724,0%,39,468,93,8,10%,1%
S01011463,Clydesdale and New Stevenston,North Lanarkshire,1030,657,5%,48,6%,42,100,31,16,71,0.18,0.01,126,80%,5.42,112,9%,7%,4.794179104,1.879966418,1.94180597,2.182537538,5.825533582,3.564083333,7.194671642,6.776429104,17.96720149,0%,18,176,67,3,10%,0%
S01011464,Carfin and Cleekhimin,North Lanarkshire,687,492,6%,43,5%,23,75,0,0,50,0.14,0.03,105,85%,5.71,76,3%,12%,3.889763573,2.960468476,3.187740806,3.826615721,7.401247811,2.098467742,6.562587566,8.045757443,15.822338,0%,20,293,63,4,11%,1%
S01011465,Carfin and Cleekhimin,North Lanarkshire,511,325,31%,158,19%,63,180,124,84,158,0.23,0.00,159,59%,4.66,211,10%,9%,4.157563985,2.732568556,2.964753199,3.719387097,7.374771481,2.14,6.141361974,7.569140768,15.69428702,0%,51,1004,131,10,24%,2%
S01011466,Carfin and Cleekhimin,North Lanarkshire,764,472,21%,164,19%,87,175,288,153,145,0.21,0.00,144,67%,5.35,168,6%,4%,1.356959459,1.955650338,2.085886824,2.880153509,7.607491554,2.957396694,6.6278125,7.352170608,17.91380068,0%,33,434,81,2,14%,0%
S01011467,Carfin and Cleekhimin,North Lanarkshire,524,350,17%,88,11%,38,150,127,136,115,0.19,0.07,126,73%,5.27,130,6%,7%,2.433650278,3.121256957,3.240194805,3.397755102,7.257189239,3.556641791,8.012676252,8.969313544,18.49040816,0%,16,307,67,0,12%,0%
S01011468,Carfin and Cleekhimin,North Lanarkshire,929,597,2%,22,2%,12,45,15,13,28,0.11,0.06,93,89%,5.81,74,1%,12%,3.493256831,3.66260929,3.872062842,4.299292683,7.034655738,3.031574675,9.000224044,9.844937158,15.88244262,0%,3,32,63,4,7%,0%
S01011469,Carfin and Cleekhimin,North Lanarkshire,862,599,22%,193,14%,85,160,60,46,88,0.19,0.14,141,66%,5.31,174,3%,6%,3.414895227,4.48910943,4.672284633,4.435496795,6.636559953,5.035958647,9.328902794,9.813914435,15.72097206,0%,22,257,132,12,15%,1%
S01011470,Carfin and Cleekhimin,North Lanarkshire,1058,661,17%,178,14%,91,150,181,138,98,0.21,0.02,144,72%,5.43,142,6%,6%,2.9133303,3.600386715,3.79406051,3.888421986,6.176885805,4.268160622,7.767170155,8.804142402,16.45085077,0%,33,314,137,8,12%,1%
S01011471,Motherwell South,North Lanarkshire,840,456,12%,104,10%,47,125,67,81,81,0.25,0.07,128,85%,5.67,101,2%,17%,1.444548331,3.414387227,3.163581703,3.671179941,4.324404488,4.865222222,9.825379747,7.823164557,14.23103567,0%,16,192,109,8,13%,1%
S01011472,Motherwell South,North Lanarkshire,882,626,33%,290,28%,172,220,196,442,178,0.26,0.09,143,74%,5.37,157,17%,7%,1.084068182,2.576838068,2.868889205,3.449744318,4.016838068,4.803402062,10.00706818,7.696170455,14.2818125,0%,77,878,99,8,11%,1%
S01011473,Motherwell South,North Lanarkshire,714,426,30%,212,29%,121,220,368,508,129,0.31,0.18,177,61%,5.18,186,15%,5%,2.822192192,1.994831081,1.805810811,2.20233945,2.372653904,4.346603774,6.927582583,6.294095345,8.597278529,2%,156,2183,75,4,11%,1%
S01011474,Motherwell South,North Lanarkshire,787,462,25%,197,21%,97,190,167,97,153,0.29,0.14,200,75%,5.10,151,8%,7%,2.386375313,1.369705514,1.002684837,1.330807453,3.075792607,4.510478261,5.651779449,3.481967419,11.46724311,0%,79,1010,91,4,11%,1%
S01011475,Motherwell South,North Lanarkshire,573,338,36%,204,32%,106,230,505,279,143,0.32,0.09,187,62%,4.71,166,10%,3%,2.322318182,2.094958678,1.734446281,1.95372807,3.501466942,4.082463768,7.757347107,5.27381405,12.23049174,0%,47,825,73,2,12%,0%
S01011476,Ladywell,North Lanarkshire,476,311,2%,8,3%,10,50,0,0,35,0.15,0.00,85,91%,6.08,62,0%,11%,2.646211499,3.60674538,4.037551335,3.677375,5.025282341,3.755068493,9.490728953,11.45771561,14.7901232,0%,5,106,19,0,4%,0%
S01011477,Ladywell,North Lanarkshire,797,446,2%,15,4%,16,50,37,0,74,0.15,0.04,78,86%,5.93,61,0%,14%,1.967264982,4.034770858,4.087291422,4.024538462,4.07166275,3.30697861,13.16690364,12.38147474,15.54237955,1%,4,50,26,0,3%,0%
S01011478,Ladywell,North Lanarkshire,1023,682,4%,46,3%,21,70,24,0,97,0.15,0.04,100,92%,6.21,39,1%,14%,1.561214623,2.519893868,2.855877358,2.806851064,4.015160377,2.106089109,7.924792453,7.759620283,12.37891509,0%,20,197,27,9,3%,1%
S01011479,Ladywell,North Lanarkshire,801,479,5%,41,4%,19,70,26,20,89,0.15,0.03,92,87%,4.94,75,3%,14%,1.314268838,2.828840996,2.725431034,2.773805031,4.206408046,2.6526,7.874757344,6.832879949,12.99503193,0%,8,100,30,6,4%,1%
S01011480,Ladywell,North Lanarkshire,988,603,5%,53,3%,20,65,34,47,65,0.16,0.00,81,83%,5.94,44,1%,13%,1.859915049,1.31456068,2.290055825,1.41379397,4.057555825,2.278146067,5.175029126,6.283694175,12.31923301,0%,18,183,53,8,5%,1%
S01011481,Motherwell West,North Lanarkshire,918,593,8%,78,6%,35,100,44,28,86,0.16,0.00,119,87%,5.60,112,0%,7%,3.435560345,1.826933498,2.606524015,2.530333333,4.937081281,3.683287293,7.199698276,8.339181034,15.91623768,0%,13,142,57,7,7%,1%
S01011482,Motherwell West,North Lanarkshire,869,522,19%,163,13%,68,155,123,138,117,0.25,0.03,163,79%,5.65,127,8%,8%,2.281234637,1.710879888,1.934047486,1.662366255,4.695069832,3.032483871,6.116357542,6.334969274,15.17141899,0%,19,220,105,1,12%,0%
S01011483,Motherwell West,North Lanarkshire,498,332,5%,23,5%,15,55,13,59,36,0.16,0.00,73,*,5.75,61,0%,13%,2.601247646,2.933954802,2.67155838,2.581176471,5.773149718,3.81325,10.97212806,10.0484322,19.666629,0%,6,121,42,1,8%,0%
S01011484,Motherwell West,North Lanarkshire,821,504,25%,202,17%,84,200,137,231,167,0.29,0.03,183,64%,4.81,195,4%,3%,2.707156069,3.019878613,1.46433815,2.107065868,5.860910405,3.728230337,7.67065896,4.205193642,16.93147977,0%,16,196,149,0,17%,0%
S01011485,Motherwell West,North Lanarkshire,977,613,27%,260,16%,100,210,240,263,171,0.21,0.09,183,61%,4.70,208,13%,8%,2.745670984,2.24280829,1.329253886,2.390273723,5.325080311,3.76411157,8.139673575,3.989090674,16.89009845,0%,29,299,213,0,22%,0%
S01011486,Motherwell North,North Lanarkshire,560,326,31%,171,18%,59,195,131,245,129,0.25,0.00,158,58%,5.10,207,12%,4%,3.792508787,3.827262742,1.561972759,1.580636364,6.809806678,4.352265625,11.68128295,4.854200351,19.86657293,0%,37,664,144,2,26%,0%
S01011487,Motherwell North,North Lanarkshire,1141,731,21%,235,16%,114,170,83,128,218,0.25,0.10,148,71%,4.77,180,5%,9%,4.207889182,3.95266051,2.076897537,1.572380192,6.998990765,4.407894737,12.27506157,5.696644679,21.24056948,0%,56,494,232,9,21%,1%
S01011488,Motherwell North,North Lanarkshire,693,420,34%,235,25%,105,235,181,356,127,0.26,0.09,170,62%,4.64,205,10%,5%,3.7333967,3.137725968,1.50633429,2.22594,6.246954806,3.987986111,11.286033,4.045416069,17.54830344,0%,35,508,116,3,17%,0%
S01011489,Motherwell North,North Lanarkshire,746,549,6%,46,6%,31,90,47,32,86,0.13,0.03,114,79%,5.19,92,1%,9%,4.45138,3.62068,2.221386667,2.3373,6.731816667,3.8099,12.42532667,5.317653333,18.20452,0%,8,108,95,0,13%,0%
S01011490,Forgewood,North Lanarkshire,985,608,20%,196,14%,82,160,110,203,204,0.28,0.02,133,72%,5.23,143,0%,8%,4.264647374,3.892548638,1.812042802,3.563056769,5.945172665,1.970068027,13.6376216,7.945719844,15.99007296,0%,89,899,113,11,12%,1%
